date,repository,category,commits,lines_added,lines_deleted
2026-05-18,dore-API,api,6,99,32
2026-05-18,dore-app,app,5,809,589
2026-05-18,app-design,app,0,0,0
2026-05-18,app-Deployment,infraestructure,0,0,0
2026-05-18,development-stats-private,other,0,0,0
